threshold,tp,fp,tn,fn,tpr,fpr
0,3,0,20,17,0.1499999999925,0.0
1,3,0,20,17,0.1499999999925,0.0
2,7,0,20,13,0.3499999999825,0.0
3,7,0,20,13,0.3499999999825,0.0
4,7,0,20,13,0.3499999999825,0.0
5,7,0,20,13,0.3499999999825,0.0
6,8,0,20,12,0.39999999998,0.0
7,8,0,20,12,0.39999999998,0.0
8,9,0,20,11,0.4499999999775,0.0
9,9,0,20,11,0.4499999999775,0.0
10,9,0,20,11,0.4499999999775,0.0
11,9,0,20,11,0.4499999999775,0.0
12,9,0,20,11,0.4499999999775,0.0
13,9,0,20,11,0.4499999999775,0.0
14,12,0,20,8,0.59999999997,0.0
15,12,0,20,8,0.59999999997,0.0
16,15,0,20,5,0.7499999999625,0.0
17,15,0,20,5,0.7499999999625,0.0
18,16,0,20,4,0.79999999996,0.0
19,16,0,20,4,0.79999999996,0.0
20,16,0,20,4,0.79999999996,0.0
21,16,0,20,4,0.79999999996,0.0
22,18,0,20,2,0.899999999955,0.0
23,18,0,20,2,0.899999999955,0.0
24,19,1,19,1,0.9499999999525,0.0499999999975
25,19,1,19,1,0.9499999999525,0.0499999999975
26,20,2,18,0,0.99999999995,0.099999999995
27,20,2,18,0,0.99999999995,0.099999999995
28,20,4,16,0,0.99999999995,0.19999999999
29,20,4,16,0,0.99999999995,0.19999999999
30,20,7,13,0,0.99999999995,0.3499999999825
31,20,7,13,0,0.99999999995,0.3499999999825
32,20,12,8,0,0.99999999995,0.59999999997
33,20,12,8,0,0.99999999995,0.59999999997
34,20,17,3,0,0.99999999995,0.8499999999575
35,20,17,3,0,0.99999999995,0.8499999999575
36,20,19,1,0,0.99999999995,0.9499999999525
37,20,19,1,0,0.99999999995,0.9499999999525
38,20,19,1,0,0.99999999995,0.9499999999525
39,20,19,1,0,0.99999999995,0.9499999999525
40,20,20,0,0,0.99999999995,0.99999999995
41,20,20,0,0,0.99999999995,0.99999999995
42,20,20,0,0,0.99999999995,0.99999999995
43,20,20,0,0,0.99999999995,0.99999999995
44,20,20,0,0,0.99999999995,0.99999999995
45,20,20,0,0,0.99999999995,0.99999999995
46,20,20,0,0,0.99999999995,0.99999999995
47,20,20,0,0,0.99999999995,0.99999999995
48,20,20,0,0,0.99999999995,0.99999999995
49,20,20,0,0,0.99999999995,0.99999999995
50,20,20,0,0,0.99999999995,0.99999999995
51,20,20,0,0,0.99999999995,0.99999999995
52,20,20,0,0,0.99999999995,0.99999999995
53,20,20,0,0,0.99999999995,0.99999999995
54,20,20,0,0,0.99999999995,0.99999999995
55,20,20,0,0,0.99999999995,0.99999999995
56,20,20,0,0,0.99999999995,0.99999999995
57,20,20,0,0,0.99999999995,0.99999999995
58,20,20,0,0,0.99999999995,0.99999999995
59,20,20,0,0,0.99999999995,0.99999999995
60,20,20,0,0,0.99999999995,0.99999999995
61,20,20,0,0,0.99999999995,0.99999999995
62,20,20,0,0,0.99999999995,0.99999999995
63,20,20,0,0,0.99999999995,0.99999999995
64,20,20,0,0,0.99999999995,0.99999999995
